Sr No.,ISO3,Country,Continent,Hemisphere,1990,1995,2000,2005,2010,2013,2018,Total CO2 Emissions
0,AFG,Afghanistan,Asia,Northern Hemisphere,1.24,0.84,0.82,0.76,1.06,1.4,2.66,8.780000000000001
1,ALB,Albania,Europe,Northern Hemisphere,3.56,2.15,2.36,2.68,2.83,2.85,3.52,19.95
2,DZA,Algeria,Africa,Northern Hemisphere,3.5,3.42,3.75,4.04,4.58,4.88,5.18,29.349999999999998
3,AGO,Angola,Africa,Southern Hemisphere,4.29,4.43,4.2,5.06,6.32,5.99,2.59,32.879999999999995
4,ATG,Antigua and Barbuda,America,Northern Hemisphere,6.31,6.53,7.08,8.77,10.69,11.22,12.59,63.19
5,ARG,Argentina,America,Southern Hemisphere,7.12,7.25,7.49,7.73,7.77,7.86,8.22,53.44
6,ARM,Armenia,Asia,Northern Hemisphere,6.556168831168831,1.94,1.82,2.3,2.46,2.97,3.17,21.21616883116883
7,AUS,Australia,Australia,Southern Hemisphere,28.06,27.28,30.84,27.6,25.39,25.06,24.63,188.86
8,AUT,Austria,Europe,Northern Hemisphere,9.71,9.55,9.59,10.79,9.85,9.15,8.48,67.12
9,AZE,Azerbaijan,Asia,Northern Hemisphere,6.556168831168831,7.5,6.79,6.61,6.36,7.43,8.07,49.31616883116883
10,BHS,Bahamas,America,Northern Hemisphere,8.31,6.69,6.32,6.03,7.58,9.04,6.85,50.82
11,BHR,Bahrain,Asia,Northern Hemisphere,27.27,29.64,29.19,27.78,24.4,25.4,31.19,194.87
12,BGD,Bangladesh,Asia,Northern Hemisphere,0.8,0.81,0.81,0.85,1.0,1.04,1.23,6.539999999999999
13,BRB,Barbados,America,Northern Hemisphere,11.01,10.38,11.69,12.17,12.64,12.53,13.22,83.64
14,BLR,Belarus,Europe,Northern Hemisphere,6.556168831168831,8.23,7.84,8.63,9.66,9.55,9.29,59.75616883116883
15,BEL,Belgium,Europe,Northern Hemisphere,6.556168831168831,,13.26,12.16,11.44,10.17,9.52,63.10616883116883
16,BLZ,Belize,America,Northern Hemisphere,29.05,29.84,28.55,28.11,28.29,28.15,4.08,176.07000000000002
17,BEN,Benin,Africa,Northern Hemisphere,1.01,0.88,1.01,1.16,1.21,1.22,1.51,8.0
18,BTN,Bhutan,Asia,Northern Hemisphere,1.36,1.68,1.72,1.55,1.46,1.91,3.27,12.95
19,BOL,Bolivia,America,Southern Hemisphere,3.04,3.49,3.38,3.78,4.38,4.5,5.01,27.58
20,BIH,Bosnia and Herzegovina,Europe,Northern Hemisphere,6.556168831168831,1.81,5.34,6.0,7.36,7.89,8.18,43.13616883116883
21,BWA,Botswana,Africa,Southern Hemisphere,9.12,8.45,8.25,5.58,9.32,6.07,7.15,53.94
22,BRA,Brazil,America,Southern Hemisphere,3.73,3.92,4.12,4.43,4.73,5.03,4.93,30.89
23,BRN,Brunei,Asia,Northern Hemisphere,48.33,46.38,46.49,44.83,46.88,46.84,38.75,318.5
24,BGR,Bulgaria,Europe,Northern Hemisphere,11.24,8.28,7.16,8.03,8.0,7.55,7.59,57.849999999999994
25,BFA,Burkina Faso,Africa,Northern Hemisphere,1.25,1.29,1.27,1.42,1.38,1.38,1.56,9.55
26,BDI,Burundi,Africa,Southern Hemisphere,0.42,0.42,0.35,0.26,0.29,0.32,0.49,2.55
27,KHM,Cambodia,Asia,Northern Hemisphere,1.74,1.67,1.49,1.63,1.83,1.8,2.31,12.47
28,CMR,Cameroon,Africa,Northern Hemisphere,6.43,5.91,5.4,4.77,4.13,3.85,3.53,34.02
29,CAN,Canada,America,Northern Hemisphere,20.22,20.69,22.12,21.94,20.47,20.94,19.56,145.94
30,CPV,Cape Verde,Africa,Northern Hemisphere,0.63,0.73,0.79,1.1,1.43,1.15,1.52,7.35
31,CAF,Central African Republic,Africa,Northern Hemisphere,12.21,11.98,11.8,11.28,10.78,10.94,11.93,80.92000000000002
32,TCD,Chad,Africa,Northern Hemisphere,2.6,2.37,2.43,2.87,2.28,2.17,5.21,19.93
33,CHL,Chile,America,Southern Hemisphere,3.53,3.95,4.47,4.69,5.35,5.93,5.85,33.77
34,CHN,China,Asia,Northern Hemisphere,2.69,3.39,3.49,5.5,7.43,8.49,8.87,39.86
35,COL,Colombia,America,Northern Hemisphere,3.4,3.5,3.27,3.21,3.3,3.37,3.71,23.76
36,COM,Comoros,Africa,Southern Hemisphere,0.56,0.53,0.52,0.47,0.5,0.54,0.71,3.83
37,CRI,Costa Rica,America,Northern Hemisphere,2.68,2.77,2.52,2.71,2.83,2.93,3.16,19.6
38,HRV,Croatia,Europe,Northern Hemisphere,6.556168831168831,4.64,5.41,6.4,5.99,5.49,5.52,40.006168831168836
39,CUB,Cuba,America,Northern Hemisphere,5.02,3.43,3.89,3.54,4.33,4.08,3.69,27.98
40,CYP,Cyprus,Asia,Northern Hemisphere,6.59,7.3,8.19,8.53,7.92,6.06,7.23,51.82000000000001
41,CZE,Czech Republic,Europe,Northern Hemisphere,6.556168831168831,14.05,13.76,13.47,12.39,11.42,11.56,83.20616883116882
42,DNK,Denmark,Europe,Northern Hemisphere,12.97,14.24,12.48,11.59,11.03,9.38,7.92,79.61
